"fecha","consumo","festivo","visibility","windBearing","temperature","dewPoint","pressure","apparentTemperature","windSpeed","humidity"
2012-10-12 00:30:00,0,0,11.76,234,13.61,12.21,999.47,13.61,5.4,0.91
2012-10-12 01:00:00,0,0,13.5,250,13.09,11.37,1000.1,13.09,6.77,0.89
2012-10-12 01:30:00,0,0,13.5,250,13.09,11.37,1000.1,13.09,6.77,0.89
2012-10-12 02:00:00,0,0,13.5,252,12.54,10.27,1000.51,12.54,6.46,0.86
2012-10-12 02:30:00,0,0,13.5,252,12.54,10.27,1000.51,12.54,6.46,0.86
2012-10-12 03:00:00,0,0,12.94,251,11.94,9.31,1000.73,11.94,6.37,0.84
2012-10-12 03:30:00,0,0,12.94,251,11.94,9.31,1000.73,11.94,6.37,0.84
2012-10-12 04:00:00,0,0,12.6,251,11.47,9.14,1001.23,11.47,6.63,0.86
2012-10-12 04:30:00,0,0,12.6,251,11.47,9.14,1001.23,11.47,6.63,0.86
2012-10-12 05:00:00,0,0,12.7,253,10.87,8.61,1001.97,10.87,6.55,0.86
2012-10-12 05:30:00,0,0,12.7,253,10.87,8.61,1001.97,10.87,6.55,0.86
2012-10-12 06:00:00,0,0,12.38,259,10.37,8.62,1002.72,10.37,6.11,0.89
2012-10-12 06:30:00,0,0,12.38,259,10.37,8.62,1002.72,10.37,6.11,0.89
2012-10-12 07:00:00,0,0,12.73,261,10.39,8.35,1003.91,10.39,6.71,0.87
2012-10-12 07:30:00,0,0,12.73,261,10.39,8.35,1003.91,10.39,6.71,0.87
2012-10-12 08:00:00,0,0,12.96,263,10.29,7.49,1005.01,10.29,6.59,0.83
2012-10-12 08:30:00,0,0,12.96,263,10.29,7.49,1005.01,10.29,6.59,0.83
2012-10-12 09:00:00,0,0,13.45,266,10.94,6.9,1006.14,10.94,6.75,0.76
2012-10-12 09:30:00,0,0,13.45,266,10.94,6.9,1006.14,10.94,6.75,0.76
2012-10-12 10:00:00,0,0,13.07,271,12.32,5.71,1006.82,12.32,7.15,0.64
2012-10-12 10:30:00,0,0,13.07,271,12.32,5.71,1006.82,12.32,7.15,0.64
2012-10-12 11:30:00,0.143,0,13.52,267,12.59,4.48,1007.25,12.59,6.96,0.58
2012-10-12 12:00:00,0.663,0,13.52,260,13.86,4.32,1007.37,13.86,6.92,0.53
2012-10-12 12:30:00,0.256,0,13.52,260,13.86,4.32,1007.37,13.86,6.92,0.53
2012-10-12 13:00:00,0.155,0,13.52,253,13.99,4.48,1007.54,13.99,7,0.53
2012-10-12 13:30:00,0.199,0,13.52,253,13.99,4.48,1007.54,13.99,7,0.53
2012-10-12 14:00:00,0.125,0,12.83,253,13.52,4.56,1007.68,13.52,6.63,0.55
2012-10-12 14:30:00,0.165,0,12.83,253,13.52,4.56,1007.68,13.52,6.63,0.55
2012-10-12 15:00:00,0.14,0,13.52,255,12.69,5.57,1007.91,12.69,6.5,0.62
2012-10-12 15:30:00,0.148,0,13.52,255,12.69,5.57,1007.91,12.69,6.5,0.62
2012-10-12 16:00:00,0.154,0,13.52,250,12.46,3.66,1008.45,12.46,5.98,0.55
2012-10-12 16:30:00,0.137,0,13.52,250,12.46,3.66,1008.45,12.46,5.98,0.55
2012-10-12 17:00:00,0.493,0,13.28,241,11.31,4.36,1008.93,11.31,4.71,0.62
2012-10-12 17:30:00,0.354,0,13.28,241,11.31,4.36,1008.93,11.31,4.71,0.62
2012-10-12 18:00:00,0.228,0,13.2,227,10.39,5.12,1009.43,10.39,3.7,0.7
2012-10-12 18:30:00,0.195,0,13.2,227,10.39,5.12,1009.43,10.39,3.7,0.7
2012-10-12 19:00:00,0.527,0,12.89,220,9.38,5.23,1009.27,7.66,3.2,0.75
